Municipality,15,16,17,18,19,20,21,22,23,24
Theewaterskloof,0.010416162007655,0.014631074075869,0.027324257545662,0.06075287050046,0.076255995349063,0.07412431568238,0.102417518531079,0.080083329296061,0.104791434523521,0.07800009689453
Overberg,0.010000423746769,0.015445569727531,0.027331666596042,0.060489851264884,0.070320776304081,0.075702360269503,0.094982838255858,0.083478113479385,0.098860121191576,0.097334632823425
Western Cape,0.007409410441201,0.011813223310247,0.019816215717108,0.046143931378156,0.05980008536274,0.073143431073356,0.083537710827595,0.087770986655712,0.093514598818678,0.095400870398444
South Africa,0.005024420118906,0.008215145478544,0.014715284869898,0.02982944809667,0.043099665722048,0.058157147821766,0.071667858243315,0.077724095971198,0.086238927834273,0.044169572244418
George,0.009042567549329,0.009933327934786,0.025967014872999,0.054255405295975,0.08286770858639,0.063351958323211,0.088968067589818,0.083893432666613,0.08688962669042,0.094474586336276
Bitou,0.007013201320132,0.010004125412541,0.011757425742574,0.036406765676568,0.0503300330033,0.070544554455446,0.079207920792079,0.073432343234324,0.139129537953795,0.122009075907591
Knysna,0.005632716049383,0.004166666666667,0.017052469135803,0.05787037037037,0.066820987654321,0.071990740740741,0.091666666666667,0.094907407407407,0.098148148148148,0.077546296296296
Laingsburg,0.023059617547807,0.024184476940383,0.056242969628796,0.078740157480315,0.123172103487064,0.097862767154106,0.089988751406074,0.102924634420697,0.046681664791901,0.113610798650169
Prince Albert,0.030637254901961,0.033394607843137,0.022365196078431,0.081801470588235,0.096507352941177,0.150122549019608,0.084252450980392,0.055759803921569,0.048100490196079,0.134191176470588
Beaufort West,0.016109163271108,0.02586942101772,0.026532739505354,0.06860608357813,0.060267222590733,0.083199090306074,0.082725291386336,0.084904766417133,0.085189045768976,0.074196910831043
Cederberg,0.014296149431285,0.032870708546384,0.055201920066785,0.052280079307106,0.089429197537306,0.096838150892205,0.098612125639153,0.09589898779088,0.064802253991443,0.115204007095899
Stellenbosch,0.006565377068974,0.012124566081401,0.018312622629169,0.032047089601047,0.048221562610052,0.072118528953061,0.07272224178699,0.116667505156714,0.087588670322483,0.106052221160135
Cape Agulhas,0.025291120815138,0.017285298398836,0.041848617176128,0.056222707423581,0.045123726346434,0.090975254730713,0.098617176128093,0.114264919941776,0.110262008733624,0.124636098981077
Oudtshoorn,0.012296023902551,0.018846242243163,0.032751091703057,0.060675706734084,0.084693173982993,0.065674557572972,0.069926453688807,0.10020684900023,0.096472075384969,0.065559641461733
City of Cape Town,0.005765965130664,0.009020846299839,0.015913264639666,0.041271524400083,0.053213772542511,0.070179725379006,0.080131854959545,0.085478281582567,0.093567844601707,0.094076515832584
Matzikama,0.008660461351679,0.022824767300688,0.030594900849858,0.062970457304735,0.067422096317281,0.086199919061109,0.09915014164306,0.108134358559288,0.079158235532173,0.095993524888709
Bergrivier,0.006163186459387,0.030447980866526,0.030447980866526,0.060711986017846,0.085272743997792,0.063287646030724,0.082789071842517,0.103854291233557,0.091159966884371,0.103394351945543
Saldanha Bay,0.001811219209273,0.010919064375906,0.026495549575657,0.041865038294349,0.072293521010143,0.067998344028152,0.08678327468433,0.113227075139723,0.101376526599048,0.120678948457876
Swartland,0.010495258166491,0.017787144362487,0.028240252897787,0.046575342465754,0.071822971548999,0.079030558482613,0.076628029504742,0.068872497365648,0.100021074815595,0.08522655426765
Witzenberg,0.009356950327301,0.01455525606469,0.027031189834424,0.062110127069696,0.082633808240277,0.074855602618406,0.100885637273777,0.08921832884097,0.090257989988448,0.0998459761263
Drakenstein,0.005444717444717,0.012796068796069,0.017238329238329,0.04395085995086,0.069267813267813,0.080746928746929,0.091007371007371,0.092324324324324,0.108992628992629,0.107203931203931
Breede Valley,0.021689568057182,0.024678045474151,0.035676874730421,0.074403844968883,0.059399839792963,0.088637624006408,0.112298970977879,0.080719699303716,0.097356583893031,0.090054840101054
Langeberg,0.012136576945898,0.020389449269108,0.026322886887103,0.062301094988942,0.072441879281515,0.100221155402125,0.089217325637845,0.096768973515292,0.073466745779168,0.067209666109283
Theewaterskloof,0.010416162007655,0.014631074075869,0.027324257545662,0.06075287050046,0.076255995349063,0.07412431568238,0.102417518531079,0.080083329296061,0.104791434523521,0.07800009689453
Overstrand,0.006434916416031,0.012659998601105,0.017206406938519,0.067706511855634,0.064908722109534,0.074141428271665,0.09372595649437,0.083024410715535,0.085612366230678,0.122892914597468
Swellendam,0.003697677858305,0.02218606714983,0.03697677858305,0.047921905043633,0.084011240940689,0.07129122910812,0.072030764679781,0.06996006507913,0.09954148794557,0.080165655968052
Kannaland,0.017495140238823,0.041099694529297,0.032768675367953,0.046653707303527,0.089141905026382,0.101083032490975,0.110802554845876,0.099139128019995,0.062760344348792,0.108303249097473
Hessequa,0.013883532587736,0.017997171872991,0.036379997428976,0.065946779791747,0.100784162488752,0.104897801774007,0.096927625658825,0.069931867849338,0.088443244632986,0.089985859364957
Mossel Bay,0.010247061042309,0.00817250267178,0.018545294524423,0.046457534418809,0.048594958194506,0.065128559753568,0.069277676494625,0.085937008864022,0.082290815364305,0.119632866033822
